subset,digit,count,percent
train_full,0,5923,9.871666666666666
train_full,1,6742,11.236666666666666
train_full,2,5958,9.93
train_full,3,6131,10.218333333333334
train_full,4,5842,9.736666666666666
train_full,5,5421,9.035
train_full,6,5918,9.863333333333333
train_full,7,6265,10.441666666666666
train_full,8,5851,9.751666666666667
train_full,9,5949,9.915
test_full,0,980,9.8
test_full,1,1135,11.35
test_full,2,1032,10.32
test_full,3,1010,10.1
test_full,4,982,9.82
test_full,5,892,8.92
test_full,6,958,9.58
test_full,7,1028,10.28
test_full,8,974,9.74
test_full,9,1009,10.09
train_sample_90pct,0,5329,9.868518518518519
train_sample_90pct,1,6060,11.222222222222221
train_sample_90pct,2,5350,9.907407407407407
train_sample_90pct,3,5522,10.225925925925926
train_sample_90pct,4,5279,9.775925925925925
train_sample_90pct,5,4887,9.05
train_sample_90pct,6,5347,9.901851851851852
train_sample_90pct,7,5614,10.396296296296295
train_sample_90pct,8,5232,9.688888888888888
train_sample_90pct,9,5380,9.962962962962964
test_sample_80pct,0,792,9.9
test_sample_80pct,1,905,11.3125
test_sample_80pct,2,810,10.125
test_sample_80pct,3,820,10.25
test_sample_80pct,4,791,9.8875
test_sample_80pct,5,707,8.8375
test_sample_80pct,6,775,9.6875
test_sample_80pct,7,827,10.3375
test_sample_80pct,8,774,9.675
test_sample_80pct,9,799,9.9875
